Ch??ng trình ?ào t?o mà b?n ?ang theo h?c t?i NEU,"Khoa, vi?n b?n ?ang theo h?c",L?p chuyên ngành,Nh?n th?c v? môi tr??ng [Nguyên nhân gây ra tình tr?ng ô nhi?m môi tr??ng là do con ng??i],Nh?n th?c v? môi tr??ng [Các v?n ?? môi tr??ng hi?n nay ?ang ?nh h??ng t?i s? s?ng c?a m?i ng??i chúng ta],Nh?n th?c v? môi tr??ng [Trách nhi?m cá nhân r?t quan tr?ng trong vi?c b?o v? môi tr??ng],"Nh?n th?c v? môi tr??ng [Gi?i pháp t?i ?u cho các v?n ?? môi tr??ng ph? thu?c vào s? thay ??i trong l?i s?ng, cách tiêu dùng c?a chúng ta]","Ki?n th?c, thái ?? v? tiêu dùng xanh [B?n có ki?n th?c v? các s?n ph?m xanh thân thi?n v?i môi tr??ng]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi c?m th?y s?n ph?m xanh t?t cho môi tr??ng và con ng??i]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi s? thay ??i s?n ph?m khi nó vi ph?m ?i?u ki?n sinh thái]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi có ki?n th?c, thái ?? tích c?c v? s?n ph?m xanh nh?ng tôi không th?c hi?n nó ( không ?? ?i?u ki?n v? tài chính, ph??ng ti?n,....)]","Ni?m tin xanh
 [Tôi th?y nh?ng cam k?t, ch?ng nh?n an toàn, ch?ng nh?n s?n ph?m xanh  nhìn chung ?áng tin c?y]","Ni?m tin xanh
 [Tôi tin vào nh?ng thông tin trên bao bì c?a s?n ph?m xanh, ???c s?n xu?t ??m b?o tiêu chu?n v? sinh môi tr??ng, làm cho ch?t l??ng cu?c s?ng c?ng ??ng t?t h?n]","Ni?m tin xanh
 [Tôi tin vào lòng trung th?c và trách nhi?m c?a nhà s?n xu?t]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng mua các s?n ph?m có thành ph?n, quy trình s?n xu?t không ??c h?i v?i môi tr??ng]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng chi nhi?u ti?n h?n ?? mua các s?n ph?m không ??c h?i v?i môi tr??ng]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi mua nhi?u h?n s?n ph?m xanh t? các gian hàng xanh, c?a hàng xanh (các ??a ?i?m uy tín)]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng mua s?n ph?m xanh t? các th??ng hi?u ?i ??u trong b?o v? môi tr??ng]",C?m nh?n v? tính hi?u qu? [Nh?ng ch?c n?ng c?a s?n ph?m xanh cung c?p nhi?u giá tr? cho tôi],"C?m nh?n v? tính hi?u qu? [Trong t??ng lai, tôi s? ti?p t?c s? d?ng s?n ph?m xanh nh?m b?o v? môi tr??ng]","C?m nh?n v? tính hi?u qu? [Tôi s? gi?i thi?u v?i ng??i thân, b?n bè v? tính hi?u qu? khi dùng s?n ph?m xanh]",Quan tâm ??n hình ?nh cái tôi [Tham gia b?o v? môi tr??ng giúp tôi ???c ?ánh giá cao],Quan tâm ??n hình ?nh cái tôi [Tôi s? b? cho là l?c h?u n?u không tham gia tiêu dùng xanh]
"Tiên ti?n, ch?t l??ng cao, POHE",pohe,qu?n lý th? tr??ng,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Không ??ng ý,Trung l?p,Trung l?p,Trung l?p,R?t không ??ng ý,R?t không ??ng ý,R?t không ??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t không ??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",pohe,qu?n tr? khách s?n,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,R?t không ??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",AEP,Qu?n tr? kinh doanh qu?c t? tiên ti?n ,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",AEP,ngân hàng clc,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",aep,k? toán tiên ti?n,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,Không ??ng ý,Không ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,R?t không ??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",AEP,tài chính doanh nghi?p CLC,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p
Chính quy,??u t?,Kinh t? ??u t?,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Không ??ng ý
Chính quy,Th?ng kê kinh t?,63A Th?ng kê kinh t?,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",AEP ,Công ngh? thông tin và chuy?n ??i s? CLC,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",POHE,th?m ??nh giá ,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",aep,kinh t? phát tri?n clc,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,R?t không ??ng ý
Chính quy,marketing,marketing 63a,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,b?o hi?m,64 b?o hi?m ,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Khoa Tài chính ngân hàng,L?p tài chính ngân hàng 63A,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,khoa h?c qu?n lý ,62b khoa h?c qu?n lý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Toán kinh t? ,63A Toán kinh t? ,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý
Chính quy,Công ngh? thông tin ,62A Công ngh? thông tin ,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Th??ng mai ?i?n t?,L?p th??ng mai ?i?n t?61A,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,Qu?n tr? kinh doanh,63D QTKD,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Không ??ng ý
Chính quy,Th??ng m?i và kinh t? qu?c t?,Kinh doanh th??ng m?i 63C,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Vi?n ngân hàng tài chính,Tài chính công 63A,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy, marketing , L?p qu?n tr? marketing 61A,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Liên k?t qu?c t?,th??ng m?i và kinh t? qu?c t?,logistic 63,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t không ??ng ý
Chính quy,K? toán ki?m toán,Ki?m toán 62A,R?t không ??ng ý,Không ??ng ý,??ng ý,R?t ??ng ý,R?t không ??ng ý,Không ??ng ý,R?t ??ng ý,Không ??ng ý,R?t không ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Không ??ng ý,R?t không ??ng ý,R?t không ??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,Du l?ch và khách s?n,Qu?n tr? d?ch v? du l?ch và l? hành 63B,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,Không ??ng ý
Chính quy,Vi?n TM&KTQT,KTQT,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",AEP,K? toán Tiên Ti?n 63,??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Không ??ng ý,Trung l?p,??ng ý,??ng ý,Không ??ng ý,Trung l?p,??ng ý,R?t ??ng ý,Không ??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p
Chính quy,Marketing,Marketing,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,
Chính quy,lu?t,lu?t 63,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý
Chính quy, Kinh t? h?c, Kinh t?,??ng ý,??ng ý,??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Lu?t ,Lu?t kinh t? ,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Ngân hàng - Tài chính,tài chính công ,Trung l?p,??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t không ??ng ý
Chính quy,Ngân hàng - Tài chính,tài chính doanh nghi?p ,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p
Chính quy,Th??ng m?i và Kinh t? Qu?c t?, Kinh doanh th??ng m?i,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p
Chính quy,Th??ng m?i và Kinh t? Qu?c t?,th??ng m?i ?i?n t?,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,Th??ng m?i và Kinh t? Qu?c t?,logistic,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Không ??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,Không ??ng ý,Trung l?p,Trung l?p,Không ??ng ý,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý
Chính quy,Toán kinh t? ,toàn kinh t? ,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Công ngh? thông tin và kinh t? s?,h? th?ng thông tin qu?n lí ,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Không ??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,Trung l?p
Chính quy,Công ngh? thông tin và kinh t? s?,công ngh? thông tin,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,R?t ??ng ý,??ng ý,Trung l?p
Chính quy,Công ngh? thông tin và kinh t? s?,khoa h?c máy tính ,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,K? toán - Ki?m toán,ki?m toán ,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t không ??ng ý
Chính quy,K? toán - Ki?m toán,k? toán ,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,K? ho?ch và phát tri?n,kinh t? phát tri?n,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p
Chính quy,Du l?ch và Khách s?n,qu?n tr? du l?ch và l? hành ,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Không ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,Không ??ng ý
Chính quy,Khoa h?c qu?n lý,qu?n lý công ,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t không ??ng ý
Chính quy,"Môi tr??ng, Bi?n ??i khí h?u và ?ô Th?",Qu?n lý tài nguyên và Môi tr??ng,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,Vi?n Ngân hàng Tài chính,Tài chính công,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
